lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,label,handedness,confidence,image_path
0.0,0.0,0.0,-0.3330007,-0.22381696,-0.111304365,-0.5115073,-0.51680905,-0.17064491,-0.26002562,-0.6567306,-0.29814303,-0.117243744,-0.7360005,-0.3717148,-0.37745935,-0.9345637,-0.222674,-0.3422435,-0.8926922,-0.2737341,-0.27835822,-0.6579256,-0.3802195,-0.23095444,-0.542978,-0.33348063,-0.07791139,-0.9710718,-0.22571982,-0.029027434,-0.8608157,-0.28219232,-0.17425542,-0.63064575,-0.17893884,-0.21250588,-0.60779035,-0.28005624,0.10874439,-0.9259775,-0.113166876,-0.04082895,-0.83729005,-0.23939887,0.12972252,-0.6008502,-0.26006383,-0.086619854,-0.4614424,-0.36568582,0.37624508,-0.8412487,-0.19535047,0.13575481,-0.67807096,-0.24413091,0.26284134,-0.48973596,-0.34258333,0.17588237,-0.5105884,-0.33830887,N,Right,0.96,aug_N_032.jpg
0.0,0.0,0.0,-0.02876149,-0.22194539,-0.014554071,-0.33342,-0.6496021,-0.047411565,-0.086584866,-0.7536077,-0.21957007,0.08452437,-0.7030728,-0.14500758,-0.122553565,-1.0514483,-0.043673716,-0.058786247,-0.9170592,-0.0018299326,-0.05652506,-0.74742055,-0.12072805,0.011239865,-0.54111415,-0.0960719,0.044972487,-0.9989403,-0.009793155,0.06398578,-0.7702638,-0.0464518,0.017402034,-0.63622254,-0.042122174,0.1574204,-0.56778777,-0.058941953,0.32108098,-0.9997255,0.003915791,0.24838412,-0.8599736,-0.06213953,0.3587597,-0.58053267,-0.14002305,0.15834822,-0.4978024,-0.20432325,0.4299675,-0.9100046,0.016744368,0.4850042,-1.1882023,-0.04817309,0.49405274,-1.541642,-0.1424049,0.6448081,-1.9305004,-0.17576127,I,Right,0.96,aug_I_030.jpg
0.0,0.0,0.0,-0.29589453,-0.24411038,0.049262505,-0.4762182,-0.57701856,-0.028814478,-0.30192414,-0.6685824,-0.10908251,-0.033671662,-0.74640113,-0.1213774,-0.2335924,-0.95041674,0.04378021,-0.47389966,-1.4475404,-0.105602175,-0.5483102,-1.8051885,-0.1265697,-0.71226704,-2.2639425,-0.25477424,-0.09983416,-0.99487734,0.015879583,-0.10155156,-1.5145001,-0.07522794,-0.031474333,-1.7777634,-0.13308279,0.009966664,-2.2421865,-0.14696874,0.09722601,-0.9632578,-0.050511144,0.19308938,-1.4174321,-0.028908186,0.49294224,-1.7567871,-0.10969932,0.61201674,-2.1726592,-0.21443541,0.18717203,-0.7748565,-0.039385293,0.17558485,-0.7247182,-0.048543125,0.17830797,-0.5103429,-0.11684634,0.16386949,-0.46709308,-0.10481123,W,Right,0.96,aug_W_021.jpg
0.0,0.0,0.0,-0.20498812,-0.37525472,-0.10417644,-0.38369122,-0.57470214,-0.19424762,-0.6648967,-0.74968636,-0.22443485,-0.43943027,-0.86063826,-0.23866431,-0.21349542,-1.0927622,-0.15437429,-0.3142783,-1.393958,-0.100312635,-0.31744573,-1.8186932,-0.19226678,-0.43076023,-2.1260085,-0.27173826,-0.017758025,-0.9963371,-0.083648406,-0.10171873,-1.4549404,-0.25653502,-0.1299494,-1.7435939,-0.32431474,-0.1529244,-1.4406701,-0.3874034,0.123234145,-0.9460384,-0.07284898,0.20643829,-1.2325665,-0.19142565,0.046717416,-1.4769242,-0.40731534,-0.032750756,-1.3468795,-0.3184949,0.34368992,-0.75931126,-0.09204477,0.3363396,-1.2467583,-0.2675138,0.26336613,-1.41619,-0.41504624,0.19241653,-1.2434752,-0.36405993,D,Right,0.96,aug_D_028.jpg
0.0,0.0,0.0,-0.21935076,-0.25432667,0.101233356,-0.4497743,-0.6910952,-0.06065161,-0.08721365,-0.73443836,-0.1436628,0.04607026,-0.739439,-0.13456905,-0.18398705,-0.8796119,-0.12324399,-0.13306327,-0.7921074,-0.11884746,-0.11088473,-0.57991517,-0.17803659,-0.12033299,-0.5145334,-0.15029743,0.024812259,-0.999389,0.024616426,0.022101609,-0.8032568,-0.120447375,0.114106864,-0.6118528,-0.11145507,0.015341637,-0.38041854,-0.10983672,0.32971635,-0.87878937,-0.051291347,0.18003155,-0.7406102,-0.09887278,0.17005649,-0.6153045,-0.14154515,0.1018729,-0.49719056,-0.08192723,0.48801392,-0.7958509,0.086303115,0.332227,-0.63799894,-0.036548253,0.2863128,-0.58486986,-0.12855646,0.2803905,-0.45013925,-0.23016644,M,Right,0.96,aug_M_029.jpg
0.0,0.0,0.0,-0.16793855,-0.19335382,-0.14924516,-0.30363736,-0.5036513,-0.2085468,-0.21360052,-0.57056385,-0.30082563,0.074864976,-0.76011175,-0.26519153,-0.24679834,-0.9691749,-0.14599222,-0.10685168,-1.4064581,-0.117681436,-0.23367067,-1.9132819,-0.320472,-0.2656336,-2.3073525,-0.39695823,-0.019524664,-0.97925854,-0.20167181,0.11453593,-1.5205022,-0.1926829,0.062420566,-1.9104546,-0.21697178,-0.009971869,-2.3216288,-0.26645333,0.21567354,-0.8488036,-0.23404083,0.24071287,-0.7277086,-0.38298124,0.30937746,-0.67333794,-0.26970217,0.22424324,-0.60166436,-0.29021537,0.492941,-0.67795295,-0.08086426,0.44525456,-0.6650598,-0.22652298,0.46040654,-0.41873258,-0.3442619,0.35348955,-0.31302044,-0.35705075,2,Right,0.96,aug_2_012.jpg
0.0,0.0,0.0,-0.120893024,-0.29411137,-0.008734093,-0.28869087,-0.5716587,-0.22356345,-0.111670256,-0.715968,-0.20650496,0.09475257,-0.7361004,-0.20395492,-0.09410277,-0.9568558,-0.09953747,-0.23828053,-1.3641572,-0.11555303,-0.28055078,-1.6772407,-0.114400394,-0.29989636,-2.1458108,-0.121194705,0.07236491,-0.9973774,-0.0013321125,0.07277898,-0.72650206,-0.15522306,0.050889056,-0.6112074,-0.12563924,0.0954723,-0.4705352,-0.22199985,0.21126983,-0.8314812,0.01607782,0.27432466,-0.7050382,-0.1085009,0.24129634,-0.6048451,-0.14753196,0.17026664,-0.4457539,-0.12820138,0.37602758,-0.6884389,-0.045295704,0.4784005,-0.5883395,-0.18883125,0.35382706,-0.6229399,-0.19909003,0.32782206,-0.3847958,-0.1743312,1,Right,0.96,aug_1_002.jpg
0.0,0.0,0.0,-0.22000499,-0.09690707,-0.06549416,-0.4131013,-0.611666,-0.19423616,-0.1800251,-0.62661666,-0.32955027,0.07165898,-0.6816014,-0.30331656,-0.21655896,-0.9593003,-0.1816063,-0.22033961,-1.4442787,-0.16685337,-0.16774157,-1.8583744,-0.17229335,-0.31029296,-2.2657285,-0.29000953,0.023225958,-0.98147583,-0.19017263,-0.06137372,-0.7584533,-0.17869762,0.0716133,-0.5879914,-0.23669484,0.06967598,-0.3995667,-0.33454245,0.16127944,-0.9214275,-0.1335165,0.16258447,-0.86056477,-0.12916113,0.1606521,-0.58692497,-0.20798445,-0.014034913,-0.47771955,-0.30612683,0.4075262,-0.7581192,-0.045427788,0.41813836,-0.58981264,-0.22988427,0.24333686,-0.622156,-0.37483397,0.2990226,-0.39490703,-0.29548332,Z,Right,0.96,aug_Z_015.jpg
0.0,0.0,0.0,-0.2794111,-0.2768179,-0.0064562135,-0.47285342,-0.5519021,-0.106810205,-0.7010475,-0.9073097,-0.08555409,-0.67469305,-1.3265779,-0.16853969,-0.26656264,-0.8583164,-0.050029125,-0.36752772,-1.2950847,-0.084630676,-0.30205977,-1.67789,-0.11404898,-0.40358576,-2.0988097,-0.1581105,-0.03378085,-0.99928683,-0.016876591,-0.14044368,-1.5033041,-0.069252826,-0.18573737,-1.6977134,-0.17665438,-0.08239334,-2.1494153,-0.20373704,-0.024763249,-0.8906627,-0.06982055,-0.068199575,-0.71682304,-0.10129376,0.115805805,-0.6579248,-0.24336328,-0.012421397,-0.46779597,-0.10770287,0.35450628,-0.66678965,-0.007850559,0.27676404,-0.6769248,-0.10337663,0.1247611,-0.5045197,-0.15252154,0.2367176,-0.43051305,-0.15244639,3,Right,0.96,aug_3_022.jpg
0.0,0.0,0.0,-0.3365776,-0.18630157,0.0024509537,-0.40505588,-0.54384106,-0.14163296,-0.34804425,-0.5956248,-0.12889308,-0.05949149,-0.7298606,-0.22042967,-0.31218717,-1.0030732,-0.013614601,-0.2877835,-0.6946696,-0.19197643,-0.24066716,-0.657441,-0.20569003,-0.14022923,-0.4415914,-0.23887059,-0.17549902,-0.9840091,-0.0304345,-0.043861218,-0.8181834,-0.1805116,0.030100333,-0.5879989,-0.12986287,-0.162235,-0.4264842,-0.14208655,0.102049954,-0.9691794,-0.09362781,0.07232763,-0.8192139,0.007060307,0.11615913,-0.67216116,-0.1690875,0.008486156,-0.3829476,-0.32569504,0.2975806,-0.79673773,-0.017198492,0.17892475,-0.55622315,-0.119147055,0.0910754,-0.63686365,-0.15570575,0.106628105,-0.36489618,-0.22143021,S,Right,0.96,aug_S_012.jpg
